dataset,seed,draw,target_h,measured_h,reliability_gain
credit,2,3,2.0,0.04411795719039193,0.0009835193599698755
credit,2,4,2.0,0.04426023553444793,8.196693804407573e-05
credit,2,5,2.0,0.052852518843670974,0.0
credit,2,6,2.0,0.04962896028717606,-0.00031612223393051586
credit,2,7,2.0,0.04348593891836608,-0.00029271509399764195
credit,2,8,2.0,0.044508147636933226,-0.0005034632499512082
credit,2,9,2.0,0.034505507429386004,0.00042149631190724346
credit,2,10,2.0,0.04934833643529732,0.0015103897498538466
credit,2,11,2.0,0.047254595477763846,8.196693804396471e-05
credit,2,12,2.0,0.04782869930789448,-0.0007961783439490722
credit,2,13,2.0,0.046056040670741434,0.0010069264999026384
credit,2,14,2.0,0.04841667890194939,-0.0009015524219257998
credit,2,15,2.0,0.046857356180488974,-0.0006908042659722335
credit,2,16,2.0,0.04531537898854494,0.0008781452819930369
credit,2,17,2.0,0.04511268911183708,0.000585430187995506
credit,2,18,2.0,0.04054083507011638,0.0006088373279281578
credit,2,19,2.0,0.045667751366038595,-0.00018734101602091435
credit,3,0,0.0,0.04649609541424412,-0.0005632215385038553
credit,3,1,0.0,0.048749259869718196,-0.0001518132296557395
credit,3,2,0.0,0.04909003094518509,0.00030362645931170107
credit,3,3,0.0,0.04493131632197661,-0.0003233455486095771
credit,3,4,0.0,0.046267461714241453,4.403138011932484e-05
credit,3,5,0.0,0.048567862755514675,-0.0009503175565307442
credit,3,6,0.0,0.0467970400320552,-0.0009503175565308553
credit,3,7,0.0,0.049453336989389085,0.0007985043268750047
credit,3,8,0.0,0.04942539601998678,-4.403138011932484e-05
credit,3,9,0.0,0.047123807000503996,0.0005191901583847525
credit,3,10,0.0,0.048745007311269746,-0.0016850714139886591
credit,3,11,0.0,0.04811613541843696,0.00030362645931159005
credit,3,12,0.0,0.047855011925363046,0.0007104415666365771
credit,3,13,0.0,0.04800665600819316,0.00025959507919237623
credit,3,14,0.0,0.0458134616425158,-0.0005829406278018423
credit,3,15,0.0,0.04821834684692995,-0.0008425357069943296
credit,3,16,0.0,0.04978660381708721,0.0008865670871136544
credit,3,17,0.0,0.04594856116130701,0.0006269720079211671
credit,3,18,0.0,0.04749682278131326,0.0003233455486095771
credit,3,19,0.0,0.04748715031654232,-0.0005389092476827395
credit,3,0,0.5,0.04660478125067957,-0.000671003388040492
credit,3,1,0.5,0.04900389692790905,-0.000994348936650069
credit,3,2,0.5,0.0505744016734426,-0.0010140680259480561
credit,3,3,0.5,0.044945678101005,-4.403138011932484e-05
credit,3,4,0.5,0.04495980590305124,-6.375046941731188e-05
credit,3,5,0.5,0.04833549834609993,-0.0012296317250213296
credit,3,6,0.5,0.0466301626001282,-0.0005829406278019533
credit,3,7,0.5,0.04962478313066751,0.001058099406067381
credit,3,8,0.5,0.0494405141449108,0.0001077818495365257
credit,3,9,0.5,0.04849215214650294,-4.4031380119213814e-05
credit,3,10,0.5,0.047545056788842056,-0.000994348936650069
credit,3,11,0.5,0.04722140835507412,8.806276023842763e-05
credit,3,12,0.5,0.04861019655368487,-0.00034765783943080386
credit,3,13,0.5,0.04816612625149068,-0.00021556369907316242
credit,3,14,0.5,0.04594152486831452,-0.0008425357069942185
credit,3,15,0.5,0.0477044834913114,-0.0014254763347960608
credit,3,16,0.5,0.05041094380019773,0.0008865670871135434
credit,3,17,0.5,0.047856348757971526,0.000671003388040492
credit,3,18,0.5,0.04790435668960173,0.00047515877826542763
credit,3,19,0.5,0.04725182558506616,-0.0008865670871135434
credit,3,0,1.0,0.04735343673848969,-0.0022042615723731895
credit,3,1,1.0,0.04924169835609051,-0.0005191901583847525
credit,3,2,1.0,0.05218349330471308,-0.001381444954676958
credit,3,3,1.0,0.04522274247212575,-0.0001077818495365257
credit,3,4,1.0,0.043635254797939664,-0.0005389092476827395
credit,3,5,1.0,0.04812513255008108,-0.0004948778675634147
credit,3,6,1.0,0.04648459819101937,-0.0003233455486095771
credit,3,7,1.0,0.049809194399755154,0.00047515877826542763
credit,3,8,1.0,0.050853605226287894,0.0007347538574578039
credit,3,9,1.0,0.0496943362023938,-0.0004114083088480047
credit,3,10,1.0,0.04790374502251897,-0.0012099126357231205
credit,3,11,1.0,0.04618815440946381,-0.00034306463790767516
credit,3,12,1.0,0.04932260032825072,-0.00019584460977495333
credit,3,13,1.0,0.04837282998946322,0.0009503175565307442
credit,3,14,1.0,0.04765225780546691,-0.0006269720079211671
credit,3,15,1.0,0.04748629524260181,-0.0008425357069942185
credit,3,16,1.0,0.051057571983166725,0.0008425357069942185
credit,3,17,1.0,0.04996225437644707,0.0006269720079211671
credit,3,18,1.0,0.04839058105299293,-0.00021556369907316242
credit,3,19,1.0,0.04692727143781314,-0.0005191901583846414
credit,3,0,1.5,0.04806475109190938,-0.0005191901583846414
credit,3,1,1.5,0.049463769993264864,-0.0005829406278019533
credit,3,2,1.5,0.05397364876159403,-0.000690722477338479
credit,3,3,1.5,0.04568818910871676,-0.0008425357069943296
credit,3,4,1.5,0.04230018693776649,0.0003673769287287909
credit,3,5,1.5,0.04832871937728682,-0.0007544729467557909
credit,3,6,1.5,0.046581700607532694,-0.0006466910972192652
credit,3,7,1.5,0.05000756922990371,0.0003233455486095771
credit,3,8,1.5,0.05266174993707233,-0.0003233455486095771
credit,3,9,1.5,0.05077644715982224,-0.00041140830884822677
credit,3,10,1.5,0.04835464330081905,-0.0011021307861865948
credit,3,11,1.5,0.04498693590205678,0.00023987598989427816
credit,3,12,1.5,0.05000137439444209,0.000387096018026889
credit,3,13,1.5,0.04864031984460417,0.0005389092476827395
credit,3,14,1.5,0.049686054057848116,-0.0012736631051404324
credit,3,15,1.5,0.04830154779855775,-0.001077818495365368
