dataset,scale,seed,contrast,raw_uniform_distance,normalized_uniform_distance,difference,qa_mismatch
adult,minmax,18,magnitude,0.7264780512957543,0.6137044231419588,0.11277362815379544,0
adult,minmax,19,magnitude,0.7264012475919641,0.6249197321346666,0.10148151545729756,0
adult,robust_quantile,0,magnitude,0.7376686817119065,0.6247546111144882,0.11291407059741831,0
adult,robust_quantile,1,magnitude,0.7543657179706573,0.6286918261657256,0.12567389180493171,0
adult,robust_quantile,2,magnitude,0.7346750536133656,0.6328707766529327,0.10180427696043293,0
adult,robust_quantile,3,magnitude,0.7454885336087516,0.6305830154079632,0.11490551820078831,0
adult,robust_quantile,4,magnitude,0.7354689066095046,0.6321851189839109,0.10328378762559365,0
adult,robust_quantile,5,magnitude,0.7331733877117479,0.626071497602493,0.10710189010925486,0
adult,robust_quantile,6,magnitude,0.7536090480924043,0.6416212956518602,0.11198775244054404,0
adult,robust_quantile,7,magnitude,0.7432799970774654,0.6336698814546916,0.10961011562277378,0
adult,robust_quantile,8,magnitude,0.7447730993470904,0.6183179650444224,0.12645513430266797,0
adult,robust_quantile,9,magnitude,0.7453577772037558,0.6414525761439889,0.10390520105976697,0
adult,robust_quantile,10,magnitude,0.7419682451912136,0.625117639950344,0.11685060524086965,0
adult,robust_quantile,11,magnitude,0.7461564040860633,0.631170498263043,0.11498590582302037,0
adult,robust_quantile,12,magnitude,0.7351968236235669,0.6280797571066767,0.10711706651689012,0
adult,robust_quantile,13,magnitude,0.737310798926883,0.631438406523628,0.10587239240325497,0
adult,robust_quantile,14,magnitude,0.7426099168431808,0.6279299074157687,0.11468000942741208,0
adult,robust_quantile,15,magnitude,0.7454751782584488,0.6444821626911391,0.10099301556730966,0
adult,robust_quantile,16,magnitude,0.7458089822525049,0.6219627596536597,0.12384622259884526,0
adult,robust_quantile,17,magnitude,0.7399151015534497,0.633820515639258,0.10609458591419174,0
adult,robust_quantile,18,magnitude,0.7441255798223896,0.6299081365103356,0.11421744331205397,0
adult,robust_quantile,19,magnitude,0.7425678739901107,0.6390950694535067,0.10347280453660401,0
adult,standardized,0,magnitude,0.7358811038170583,0.7280980043491876,0.007783099467870702,0
adult,standardized,1,magnitude,0.7495677364557423,0.7415940038535,0.007973732602242212,0
adult,standardized,2,magnitude,0.7255905117885674,0.7298718696326887,-0.004281357844121314,0
adult,standardized,3,magnitude,0.735376925995405,0.7291659201568197,0.0062110058385853595,0
adult,standardized,4,magnitude,0.7328124302706038,0.7281829266761564,0.0046295035944474705,0
adult,standardized,5,magnitude,0.7246977278070289,0.7187387340657594,0.005958993741269514,0
adult,standardized,6,magnitude,0.7413141000668799,0.735990827664571,0.005323272402308898,0
adult,standardized,7,magnitude,0.7427690101740735,0.7350758945695655,0.007693115604508027,0
adult,standardized,8,magnitude,0.7372651563682954,0.7373779434317551,-0.00011278706345974054,0
adult,standardized,9,magnitude,0.7338455059376428,0.7379009834612023,-0.004055477523559503,0
adult,standardized,10,magnitude,0.7322710251821425,0.7251343541089366,0.007136671073205925,0
adult,standardized,11,magnitude,0.7439985992219691,0.7409130861006188,0.003085513121350303,0
adult,standardized,12,magnitude,0.7314257252750191,0.7270230137617605,0.004402711513258661,0
adult,standardized,13,magnitude,0.734937569707383,0.7286068615000307,0.006330708207352265,0
adult,standardized,14,magnitude,0.7359506517191975,0.7289283662811894,0.007022285438008091,0
adult,standardized,15,magnitude,0.7382354113629453,0.7324546970681121,0.005780714294833289,0
adult,standardized,16,magnitude,0.7414224653247905,0.7380919436357818,0.003330521689008714,0
adult,standardized,17,magnitude,0.7296410157017567,0.7177086433523434,0.011932372349413245,0
adult,standardized,18,magnitude,0.7377918943856909,0.7327767699456815,0.0050151244400094,0
adult,standardized,19,magnitude,0.7348820563044351,0.7346307548990854,0.00025130140534979084,0
