dataset,target_heterogeneity,measured_heterogeneity,seed,draw,weighted,uniform_l2,gain
credit,0.0,6.032598495760654,9,18,0.6558073597286662,0.6276170680838842,0.02819029164478204
credit,0.0,6.037027952813657,9,19,0.6524812407405107,0.6269750822075735,0.02550615853293725
credit,0.0,6.225047741086797,10,0,0.63850196199979,0.6208998413338599,0.017602120665930143
credit,0.0,6.22163787819451,10,1,0.6383207836194748,0.6255283159957368,0.01279246762373798
credit,0.0,6.221061919540544,10,2,0.6395535545392078,0.6282124491075816,0.011341105431626253
credit,0.0,6.214343697461818,10,3,0.6371484054931802,0.6249283389917645,0.012220066501415716
credit,0.0,6.226877785082665,10,4,0.6412189120234231,0.6280496546483664,0.013169257375056698
credit,0.0,6.2353406513878,10,5,0.6388367428787705,0.6281008554812548,0.010735887397515631
credit,0.0,6.236070261440229,10,6,0.6450472023300491,0.6255191240351868,0.01952807829486225
credit,0.0,6.200897248195396,10,7,0.640800113399766,0.6257889161404537,0.015011197259312214
credit,0.0,6.221738720432196,10,8,0.6442240380734232,0.6272914791654538,0.01693255890796941
credit,0.0,6.205709534615074,10,9,0.639725540958973,0.6243375539483421,0.015387987010630932
credit,0.0,6.223708703587437,10,10,0.6389811534168857,0.6296546193391432,0.009326534077742421
credit,0.0,6.227425826786868,10,11,0.6355250568813032,0.6252447359496449,0.010280320931658316
credit,0.0,6.212787116699147,10,12,0.643279443180057,0.6251889391364814,0.018090504043575595
credit,0.0,6.220948054948573,10,13,0.634678267673439,0.6256307176615137,0.009047550011925365
credit,0.0,6.234188204397954,10,14,0.6388229549379454,0.6227188013167402,0.01610415362120521
credit,0.0,6.215487032950292,10,15,0.6381205762681963,0.625412126389135,0.012708449879061279
credit,0.0,6.210498685548048,10,16,0.642028288339224,0.6239049673838599,0.018123320955364064
credit,0.0,6.222750852923509,10,17,0.6399303442905266,0.6236863761114814,0.016243968179045276
credit,0.0,6.241965997742037,10,18,0.6380135786221445,0.6254771151628484,0.012536463459296043
credit,0.0,6.200536708725045,10,19,0.6407581045274275,0.6250353366378163,0.015722767889611244
credit,0.0,6.200182817854096,11,0,0.6436706659220641,0.6280870675404298,0.015583598381634367
credit,0.0,6.21317515609372,11,1,0.6470387937825579,0.6286732566035771,0.018365537178980818
credit,0.0,6.21522987049946,11,2,0.6492109185655188,0.6220164226469911,0.02719449591852774
credit,0.0,6.224102042612814,11,3,0.6445732519430918,0.6247517565917242,0.01982149535136757
credit,0.0,6.1880425141949535,11,4,0.6457128131575981,0.6272776912246287,0.018435121932969367
credit,0.0,6.200688329688649,11,5,0.6535650051418538,0.6249703478641029,0.0285946572777509
credit,0.0,6.219322612892157,11,6,0.6540999933721126,0.6270682919128002,0.02703170145931233
credit,0.0,6.194670775834735,11,7,0.6484015422497178,0.6285196541049118,0.01988188814480596
credit,0.0,6.204052446269458,11,8,0.6473315657891999,0.6274962824970074,0.01983528329219253
credit,0.0,6.198338034443676,11,9,0.6496435051300009,0.6264683149088278,0.023175190221173092
credit,0.0,6.202253266022232,11,10,0.6510764834010125,0.6296592153194183,0.021417268081594276
credit,0.0,6.215121182119147,11,11,0.6490763450378169,0.6288360510627922,0.020240293975024692
credit,0.0,6.224537980618327,11,12,0.647210780202323,0.6301292147759636,0.017081565426359413
credit,0.0,6.2301921662667255,11,13,0.6530208249510447,0.626635705348318,0.026385119602726714
credit,0.0,6.183395467522635,11,14,0.6468897872641677,0.6317387754470155,0.015151011817152171
credit,0.0,6.187765836550075,11,15,0.6496481011102759,0.6253425416351466,0.024305559475129357
credit,0.0,6.2205128778307675,11,16,0.6480805493115624,0.6280312707272663,0.02004927858429617
credit,0.0,6.211449205601771,11,17,0.646517593493124,0.6293244344404378,0.017193159052686147
credit,0.0,6.231346876730694,11,18,0.6488945216076385,0.6281894692062064,0.020705052401432056
credit,0.0,6.18159582970875,11,19,0.6473361617694751,0.6249703478641029,0.02236581390537218
credit,0.0,6.2645356806472945,12,0,0.6555421636036742,0.6348554951233424,0.02068666848033185
credit,0.0,6.2310031932760115,12,1,0.6522718414286822,0.6344321005194102,0.017839740909271984
credit,0.0,6.227869628812124,12,2,0.6504436894852519,0.6378140163207291,0.012629673164522792
credit,0.0,6.218478994188648,12,3,0.6501693013997099,0.6395817754707211,0.010587525928988706
credit,0.0,6.221396919331464,12,4,0.653328029948375,0.6392653785128408,0.014062651435534201
credit,0.0,6.237701430884598,12,5,0.6525698544654626,0.6351764880614977,0.017393366403964827
credit,0.0,6.244268879034644,12,6,0.6562537342339734,0.6359346635444103,0.020319070689563068
credit,0.0,6.23484570976259,12,7,0.6578541029444753,0.6386791894496935,0.019174913494781842
credit,0.0,6.232744278498148,12,8,0.6560587679128331,0.6351252872286094,0.020933480684223738
credit,0.0,6.219742039262488,12,9,0.6496901099826142,0.6423354933365543,0.007354616646059964
credit,0.0,6.243311904966423,12,10,0.65183006290365,0.6370046400049282,0.014825422898721796
credit,0.0,6.240255245894698,12,11,0.6525278455931242,0.636837249565438,0.015690596027686188
credit,0.0,6.228602492489963,12,12,0.6567053497694189,0.6379210139667809,0.01878433580263794
credit,0.0,6.2405420989970635,12,13,0.6573191147142163,0.6361440628562389,0.02117505185797741
